mode,frequency,signal_basis,monthly_contribution_cny,strategy_start_date,year,start_date,end_date,starting_nav_cny,ending_nav_cny,annual_contribution_cny,cumulative_contributions_cny,annual_profit_cny,cumulative_profit_cny,annual_return,annualized_return,annual_max_drawdown,annual_drawdown_from_all_time_peak,annual_max_drawdown_peak_date,annual_max_drawdown_date,annual_max_drawdown_recovery_date,annual_max_drawdown_recovery_days,twr_index_end
sell_all,daily,raw_price,10000.0,2006-01-01,2006,2006-01-03,2006-12-29,50000.0,195820.98249406833,120000.0,120000.0,25820.982494068332,25820.982494068332,0.22834096146309513,0.2320306219571462,-0.04240166170882309,-0.04240166170882309,2006-06-05,2006-06-14,2006-07-12,28.0,1.2283409614630951
sell_all,daily,raw_price,10000.0,2006-01-01,2007,2007-01-03,2007-12-31,195820.98249406833,462890.1130102079,120000.0,240000.0,147069.13051613956,172890.1130102079,0.6167445524997859,0.6237328165168836,-0.11760069882622282,-0.11760069882622282,2007-10-10,2007-11-12,,,1.9859135580578104
sell_all,daily,raw_price,10000.0,2006-01-01,2008,2008-01-02,2008-12-31,462890.1130102079,570682.6810610895,120000.0,360000.0,-12207.431949118385,160682.6810610895,-0.031674434412249486,-0.03178145946457722,-0.10378525850403986,-0.13322063969545705,2008-01-03,2008-03-18,,,1.9230108693147103
sell_all,daily,raw_price,10000.0,2006-01-01,2009,2009-01-02,2009-12-31,570682.6810610895,871167.1027947272,120000.0,480000.0,180484.4217336377,341167.1027947272,0.27398762999848114,0.2759012462788204,-0.08660914556471411,-0.09890944205474717,2009-08-04,2009-09-01,2009-10-19,48.0,2.449892059859565
sell_all,daily,raw_price,10000.0,2006-01-01,2010,2010-01-04,2010-12-31,871167.1027947272,1024367.934214591,120000.0,600000.0,33200.831419863855,374367.93421459105,0.03254918161186482,0.03293862155841998,-0.12905018516879552,-0.12905018516879552,2010-04-23,2010-08-25,,,2.529634041445405
sell_all,daily,raw_price,10000.0,2006-01-01,2011,2011-01-03,2011-12-30,1024367.934214591,1106795.2259194548,120000.0,720000.0,-37572.708295136224,336795.2259194548,-0.032394423904729575,-0.03276948098135202,-0.10290798802310042,-0.10290798802310042,2011-04-27,2011-09-28,,,2.447688003982982
sell_all,daily,raw_price,10000.0,2006-01-01,2012,2012-01-03,2012-12-31,1106795.2259194548,1244038.3583255971,120000.0,840000.0,17243.132406142307,354038.35832559713,0.018187191416577653,0.01830094726304332,-0.07108966025061425,-0.08883715721036456,2012-09-18,2012-12-20,,,2.492204574239487
sell_all,daily,raw_price,10000.0,2006-01-01,2013,2013-01-02,2013-12-31,1244038.3583255971,1545910.7167376436,120000.0,960000.0,181872.35841204645,535910.7167376436,0.1375325229311437,0.13844146504570576,-0.07931994398448494,-0.07931994398448494,2013-05-21,2013-06-24,2013-10-11,109.0,2.83496375699518
sell_all,daily,raw_price,10000.0,2006-01-01,2014,2014-01-02,2014-12-31,1545910.7167376436,2127931.04568269,120000.0,1080000.0,462020.3289450465,997931.0456826901,0.28253683549944064,0.284516542582524,-0.037492192237918,-0.037492192237918,2014-09-24,2014-10-16,2014-10-28,12.0,3.635945445652202
sell_all,daily,raw_price,10000.0,2006-01-01,2015,2015-01-02,2015-12-31,2127931.04568269,2221925.7324331454,120000.0,1200000.0,-26005.313249544706,971925.7324331454,-0.009842990993169765,-0.009903698155019458,-0.21204443874921064,-0.21204443874921064,2015-06-12,2015-09-29,,,3.6001568673789905
sell_all,daily,raw_price,10000.0,2006-01-01,2016,2016-01-04,2016-12-30,2221925.7324331454,2478044.2491529235,120000.0,1320000.0,136118.51671977807,1108044.2491529235,0.05761031900601976,0.05830795885052398,-0.035809190037590644,-0.22938507943133868,2016-01-04,2016-01-27,2016-07-01,156.0,3.807563052980413
sell_all,daily,raw_price,10000.0,2006-01-01,2017,2017-01-03,2017-12-29,2478044.2491529235,3041481.4119828306,120000.0,1440000.0,443437.16282990715,1551481.4119828306,0.1757958795981196,0.1785760404440362,-0.02640168600192072,-0.12601955925066044,2017-06-08,2017-07-04,2017-07-19,15.0,4.476916949004406
sell_all,daily,raw_price,10000.0,2006-01-01,2018,2018-01-02,2018-12-31,3041481.4119828306,3298588.3790685683,120000.0,1560000.0,137106.96708573774,1688588.3790685683,0.045253224261099456,0.04554001181818634,-0.08332798441421785,-0.08332798441421785,2018-01-23,2018-04-02,2018-07-06,95.0,4.679511875696023
sell_all,daily,raw_price,10000.0,2006-01-01,2019,2019-01-02,2019-12-31,3298588.3790685683,4005828.9341752385,120000.0,1680000.0,587240.5551066701,2275828.9341752385,0.1739093627925088,0.17507662077259267,-0.05606021570800945,-0.06929846528557138,2019-04-10,2019-06-03,2019-06-20,17.0,5.49332280417828
sell_all,daily,raw_price,10000.0,2006-01-01,2020,2020-01-02,2020-12-31,4005828.9341752385,4683451.552696032,120000.0,1800000.0,557622.618520794,2833451.5526960324,0.1365070151598211,0.1370065305027779,-0.1378011008313017,-0.1378011008313017,2020-02-19,2020-03-12,2020-06-09,89.0,6.243199903486045
sell_all,daily,raw_price,10000.0,2006-01-01,2021,2021-01-04,2021-12-31,4683451.552696032,5651975.398177122,120000.0,1920000.0,848523.8454810893,3681975.3981771218,0.17872811463329996,0.18101220184392397,-0.054061522344923674,-0.054061522344923674,2021-09-13,2021-10-04,2021-12-27,84.0,7.359035251514905
sell_all,daily,raw_price,10000.0,2006-01-01,2022,2022-01-03,2022-12-30,5651975.398177122,5163922.90465478,120000.0,2040000.0,-608052.4935223414,3073922.9046547804,-0.10672668558112497,-0.10791280375054224,-0.11385217692071048,-0.11715076774687039,2022-01-03,2022-12-26,,,6.573629810046061
sell_all,daily,raw_price,10000.0,2006-01-01,2023,2023-01-03,2023-12-29,5163922.90465478,6654730.462071097,120000.0,2160000.0,1370807.557416317,4444730.462071097,0.26270424877646414,0.2670068340293825,-0.05306168704147174,-0.11138426367695298,2023-08-01,2023-10-26,2023-12-01,36.0,8.300550291028788
sell_all,daily,raw_price,10000.0,2006-01-01,2024,2024-01-02,2024-12-31,6654730.462071097,8254895.0743535105,120000.0,2280000.0,1480164.612282413,5924895.0743535105,0.22069771930619986,0.22153397646039896,-0.09452086834952822,-0.09452086834952822,2024-07-10,2024-08-05,2024-11-07,94.0,10.132462809245288
sell_all,daily,raw_price,10000.0,2006-01-01,2025,2025-01-02,2025-12-31,8254895.0743535105,8799450.084982414,120000.0,2400000.0,424555.0106289033,6349450.084982414,0.05065064098488037,0.0509724604675712,-0.11778385732348351,-0.11778385732348351,2025-02-19,2025-04-07,2025-10-02,178.0,10.645678545289018
sell_all,daily,raw_price,10000.0,2006-01-01,2026,2026-01-02,2026-08-17,8799450.084982414,8982415.1410334,80000.0,2480000.0,102965.05605098605,6452415.1410334,0.011596879522011161,0.018725533101219494,-0.07531308182399687,-0.07531308182399687,2026-01-29,2026-03-30,,,10.769135196808824
sell_half,daily,raw_price,10000.0,2006-01-01,2006,2006-01-03,2006-12-29,50000.0,197802.1228728616,120000.0,120000.0,27802.122872861597,27802.122872861597,0.24119774785706194,0.24511508036414154,-0.052551672638546765,-0.052551672638546765,2006-06-02,2006-08-07,2006-10-12,66.0,1.241197747857062
sell_half,daily,raw_price,10000.0,2006-01-01,2007,2007-01-03,2007-12-31,197802.1228728616,466309.9630517404,120000.0,240000.0,148507.84017887875,176309.96305174037,0.6176147681267266,0.6246146421988559,-0.11769435166339737,-0.11769435166339737,2007-10-10,2007-11-12,,,2.0077798070992166
sell_half,daily,raw_price,10000.0,2006-01-01,2008,2008-01-02,2008-12-31,466309.9630517404,480044.4175686793,120000.0,360000.0,-106265.54548306105,70044.41756867932,-0.20475395709479705,-0.20537937666133854,-0.24318236063505494,-0.267962311571754,2008-01-03,2008-11-20,,,1.5966789466206228
sell_half,daily,raw_price,10000.0,2006-01-01,2009,2009-01-02,2009-12-31,480044.4175686793,806652.316827497,120000.0,480000.0,206607.89925881766,276652.316827497,0.372917481391809,0.3756172175787156,-0.08644267030301434,-0.2528336012325475,2009-08-04,2009-09-01,2009-10-19,48.0,2.1921084379857145
sell_half,daily,raw_price,10000.0,2006-01-01,2010,2010-01-04,2010-12-31,806652.316827497,1001865.8996124773,120000.0,600000.0,75213.5827849803,351865.8996124773,0.08234215375984721,0.08335088447295336,-0.13373355034915846,-0.13373355034915846,2010-04-23,2010-07-05,2010-11-01,119.0,2.372611368044595
sell_half,daily,raw_price,10000.0,2006-01-01,2011,2011-01-03,2011-12-30,1001865.8996124773,1076950.960655463,120000.0,720000.0,-44914.938957014354,306950.9606554629,-0.03914653224171294,-0.039598151721411345,-0.108819788553292,-0.108819788553292,2011-04-27,2011-10-03,,,2.2797318606283876
sell_half,daily,raw_price,10000.0,2006-01-01,2012,2012-01-03,2012-12-31,1076950.960655463,1263743.042427154,120000.0,840000.0,66792.0817716911,373743.042427154,0.06253773268441654,0.06293731409021519,-0.07551420926053332,-0.09032971665832012,2012-09-14,2012-11-15,,,2.422301122320519
sell_half,daily,raw_price,10000.0,2006-01-01,2013,2013-01-02,2013-12-31,1263743.042427154,1585938.9333087723,120000.0,960000.0,202195.89088161825,575938.9333087723,0.15128718194677382,0.15229295594390058,-0.0819273792854075,-0.0819273792854075,2013-05-21,2013-06-24,2013-09-10,78.0,2.7887642329428983
sell_half,daily,raw_price,10000.0,2006-01-01,2014,2014-01-02,2014-12-31,1585938.9333087723,2184386.812338036,120000.0,1080000.0,478447.87902926374,1054386.812338036,0.2859094288910209,0.28791530631204254,-0.03904585320132814,-0.03904585320132814,2014-09-05,2014-10-16,2014-10-29,13.0,3.586098222095309
sell_half,daily,raw_price,10000.0,2006-01-01,2015,2015-01-02,2015-12-31,2184386.812338036,2419500.055484751,120000.0,1200000.0,115113.24314671475,1169500.0554847508,0.05263188219024495,0.05296660436598488,-0.19493928794372628,-0.19493928794372628,2015-06-12,2015-09-29,,,3.774841321243279
sell_half,daily,raw_price,10000.0,2006-01-01,2016,2016-01-04,2016-12-30,2419500.055484751,2732466.4618628183,120000.0,1320000.0,192966.40637806756,1362466.4618628183,0.07592318853821678,0.07685052426420991,-0.05743665451999358,-0.1988417718153931,2016-01-06,2016-02-09,2016-06-06,118.0,4.061439310577885
sell_half,daily,raw_price,10000.0,2006-01-01,2017,2017-01-03,2017-12-29,2732466.4618628183,3368565.3010139363,120000.0,1440000.0,516098.83915111795,1878565.3010139363,0.185852780594163,0.18880436692511604,-0.026410488386090725,-0.05656418502840377,2017-06-08,2017-07-04,2017-07-19,15.0,4.816269099663225
sell_half,daily,raw_price,10000.0,2006-01-01,2018,2018-01-02,2018-12-31,3368565.3010139363,3540309.9924156424,120000.0,1560000.0,51744.69140170608,1930309.9924156424,0.01624427828236663,0.01634578443347534,-0.10387843847412637,-0.10387843847412637,2018-10-01,2018-12-25,,,4.89450591520091
sell_half,daily,raw_price,10000.0,2006-01-01,2019,2019-01-02,2019-12-31,3540309.9924156424,4486831.515488132,120000.0,1680000.0,826521.5230724895,2756831.515488132,0.22937221951505937,0.23094680045911753,-0.056092032671083536,-0.09219147980871101,2019-04-10,2019-06-03,2019-06-20,17.0,6.017169600400126
sell_half,daily,raw_price,10000.0,2006-01-01,2020,2020-01-02,2020-12-31,4486831.515488132,5411693.6355468,120000.0,1800000.0,804862.1200586678,3561693.6355467997,0.1764083191726249,0.1770648427979471,-0.14591650897864528,-0.14591650897864528,2020-02-19,2020-03-16,2020-06-08,84.0,7.078648375783341
sell_half,daily,raw_price,10000.0,2006-01-01,2021,2021-01-04,2021-12-31,5411693.6355468,6485142.958607702,120000.0,1920000.0,953449.3230609018,4515142.958607702,0.1740762027915841,0.17629651303020055,-0.05502489808593325,-0.05502489808593325,2021-09-13,2021-10-04,2021-12-27,84.0,8.310872605936508
sell_half,daily,raw_price,10000.0,2006-01-01,2022,2022-01-03,2022-12-30,6485142.958607702,5854362.165173309,120000.0,2040000.0,-750780.7934343927,3764362.165173309,-0.11485510458818715,-0.11612555593147111,-0.12048894814321298,-0.12410562484435694,2022-01-03,2022-12-28,,,7.3563264635625645
sell_half,daily,raw_price,10000.0,2006-01-01,2023,2023-01-03,2023-12-29,5854362.165173309,7740625.825210864,120000.0,2160000.0,1766263.6600375548,5530625.825210864,0.2991951315479784,0.30416378407711164,-0.053140805616259446,-0.12148211732660386,2023-08-01,2023-10-26,2023-12-01,36.0,9.557303527538041
sell_half,daily,raw_price,10000.0,2006-01-01,2024,2024-01-02,2024-12-31,7740625.825210864,9748322.383579776,120000.0,2280000.0,1887696.558368912,7418322.383579776,0.2421579502550879,0.24308330209629658,-0.09473962537265701,-0.09473962537265701,2024-07-10,2024-08-05,2024-11-06,93.0,11.871680559732376
sell_half,daily,raw_price,10000.0,2006-01-01,2025,2025-01-02,2025-12-31,9748322.383579776,10894535.78314052,120000.0,2400000.0,1026213.399560744,8444535.78314052,0.1043683381542011,0.10504810023961997,-0.11641098386476256,-0.11641098386476256,2025-02-19,2025-04-07,2025-06-26,80.0,13.11070813084918
sell_half,daily,raw_price,10000.0,2006-01-01,2026,2026-01-02,2026-08-17,10894535.78314052,11443784.049856363,80000.0,2480000.0,469248.26671584323,8913784.049856363,0.04287374023761403,0.06988086205345634,-0.07546174156081109,-0.07546174156081109,2026-01-29,2026-03-30,2026-05-08,39.0,13.67281322558238
